,HepG2_xenograft_CTL_1,HepG2_xenograft_CTL_2,HepG2_xenograft_CTL_3,HepG2_xenograft_CTL_4,HepG2_xenograft_CTL_5,HepG2_xenograft_DKD_1,HepG2_xenograft_DKD_2,HepG2_xenograft_DKD_3,HepG2_xenograft_DKD_4,HepG2_xenograft_DKD_5
A1BG,546.9719664,409.8698248,185.4521932,490.530023,260.2344002,420.2452407,380.7567493,561.8994359,411.0036948,524.9361545
A1CF,2264.775384,2709.188941,2004.748569,2356.406883,2365.581725,3506.358987,2555.961554,3158.262347,3049.350304,3014.770942
A2M,41318.76844,26367.28004,23023.00915,30705.73062,26858.23116,51845.51593,37774.52223,49724.22491,39680.1784,46820.45224
A2ML1,18.49193481,24.28858221,13.46859504,8.27898773,9.184743538,8.962576224,13.42719015,17.43825836,13.86518488,26.00601132
A2MP1,21.41171399,17.2044124,16.57673236,17.59284893,22.45159532,3.983367211,7.672680086,9.687921309,5.942222093,5.779113628
A3GALT2,0,0,0,0,0,0.995841803,0,0,0,0
A4GALT,10.70585699,11.13226685,19.68486967,9.313861196,8.164216478,18.92099425,6.713595075,13.56308983,12.87481454,26.96919693
A4GNT,0,0,0,0,0,0,0,0,0,0
AAAS,2380.593292,2191.03252,2452.320343,2497.149674,2350.273819,2135.084825,2297.008601,2219.502772,2208.525878,2018.837027
AACS,2252.123008,2005.832081,1892.855626,1973.5037,1933.898778,2268.527626,1776.22544,1860.080891,1901.51107,2020.763398
AACSP1,12.65237645,9.108218329,5.180228861,10.34873466,6.123162359,7.966734421,7.672680086,9.687921309,4.951851744,8.668670441
AADAC,49.63624606,80.9619407,65.27088365,82.7898773,69.39584007,44.81288112,58.50418565,53.2835672,53.47999884,35.63786737
AADACL2,0,0,3.108137317,0,1.02052706,2.987525408,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0
AADACP1,14.5988959,20.24048518,11.39650349,14.48822853,15.3079059,32.86277949,21.09987024,35.84530884,24.75925872,24.07964012
AADAT,740.6506521,640.6113558,645.4565161,653.0051572,693.9584007,685.1391602,703.9683979,773.0961205,757.6333169,634.7393134
AAGAB,1735.322093,1800.391156,1826.548696,1894.853317,1945.124576,1560.484105,1740.739294,1676.979179,1551.910337,1405.287797
AAK1,1790.797897,1794.319011,1825.512651,1534.71735,1813.476585,1886.124374,1631.403603,1749.638588,1676.697001,1835.831762
AAMDC,446.7262146,431.1223342,432.031087,481.2161618,490.8735158,369.4573088,486.2561004,406.892695,420.9073983,412.2434388
AAMP,4624.930222,4083.517884,4216.706293,4427.188689,4055.574536,6193.140171,5863.845756,6233.20857,6045.22061,6428.300725
AANAT,7.786077814,2.024048518,0,0,1.02052706,1.991683605,6.713595075,1.937584262,4.951851744,2.889556814
AAR2,3275.99224,3125.130911,3548.45677,3433.710161,3659.610036,2808.273883,3302.129692,3080.758976,3146.406598,2770.121799
AARD,25.3047529,19.22846092,13.46859504,30.01133052,14.28737884,22.90436146,11.50902013,20.34463475,29.71111047,15.41096967
AARS1,4047.787204,5355.632378,4562.745581,5065.705617,4121.908794,6499.859446,4165.306202,4763.550908,5266.789515,4309.292395
AARS1P1,0,0,0,0,0,0,0,0,0,0
AARS2,1242.852671,1109.178588,1186.272409,988.3041603,1104.210279,1192.022638,1258.319534,1119.923703,1299.365898,1223.245718
AARSD1,1563.055121,1396.593477,1417.310616,1596.809758,1386.896274,1085.467565,1198.856263,1047.264293,1167.646641,1107.663445
AASDH,699.7737435,967.4951914,781.1785122,878.6075729,791.9289984,809.6193856,674.2367625,630.6836772,838.8436855,723.3523891
AASDHPPT,1826.808507,2207.224908,1816.188239,2003.515031,1959.411955,1997.658656,1778.14361,2275.692715,1822.281442,1813.678493
AASS,883.7198319,826.8238194,518.0228861,779.2597201,585.7825323,1762.639991,1055.952597,1558.786539,1414.248858,1611.409517
AATF,5197.206941,5594.470103,5486.89841,5456.887788,5519.010339,4168.593786,4418.504644,4189.057174,4833.007303,3662.031669
AATK,183.9460884,99.17837736,79.77552446,144.8822853,132.6685178,309.7068006,600.3872167,498.9279474,401.0999913,497.9669576
ABAT,1975.717245,2054.409245,2482.36567,2049.049463,2274.754816,2270.51931,2478.275668,2125.529935,2404.619207,2342.46739
ABCA1,5293.559654,5430.522173,4359.680609,5103.995936,4337.240004,4005.27573,3643.563956,4161.930994,4329.899165,3934.613195
ABCA10,109.9783491,59.70943127,103.6045772,95.2083589,93.8884895,62.73803357,86.31765097,65.8778649,60.41259128,101.1344885
ABCA11P,565.4639012,541.4329785,516.9868403,519.5064801,506.1814217,439.166235,399.9384495,447.5819645,309.9859192,350.5995601
ABCA12,1.946519454,5.060121294,1.036045772,1.034873466,0,7.966734421,13.42719015,5.812752785,8.91333314,3.852742418
ABCA13,12.65237645,10.12024259,13.46859504,13.45335506,11.22579766,10.95425983,16.30444518,19.37584262,12.87481454,11.55822726
ABCA17P,7.786077814,4.048097035,1.036045772,11.38360813,7.143689418,6.970892619,3.836340043,6.781544916,2.971111047,7.705484837
ABCA2,1950.412492,1684.008367,1696.006929,1998.340663,1463.435804,2263.548417,2291.254091,1941.45943,2361.042912,2982.985817
ABCA3,2218.058917,1687.044439,1924.973045,1856.562998,1765.511813,2861.053499,2578.020509,2771.714286,2431.359207,2695.956507
ABCA4,18.49193481,12.14429111,20.72091544,25.87183666,17.34896002,32.86277949,46.03608051,39.72047737,52.48962849,33.71149616
ABCA5,798.0729759,921.9540998,879.6028606,837.2126342,889.8995961,972.9374412,766.3089236,757.5954464,766.54665,1073.951949
ABCA6,25.3047529,30.36072776,27.97323585,28.97645706,30.61581179,27.88357047,33.56797538,26.15738753,27.73036977,41.416981
ABCA7,935.3025974,783.3067763,820.5482516,883.7819402,603.1314923,1196.006005,720.2728431,866.100165,1144.868123,1441.88885
ABCA8,13.62563617,19.22846092,24.86509853,21.73234279,22.45159532,21.90851966,8.631765097,11.62550557,10.89407384,11.55822726
ABCA9,84.67359623,83.99801348,78.73947869,86.92937117,95.92954362,128.4635925,86.31765097,96.87921309,118.8444419,112.6927157
ABCB1,3590.355132,4017.736307,3410.662682,3642.754601,3674.917942,3684.61467,2444.707692,2712.617966,3178.09845,2907.85734
ABCB10,1660.381094,1795.331035,1325.102543,1894.853317,1707.341771,1458.908241,1570.022163,1678.916763,1552.900707,1481.37946
ABCB10P1,0,0,0,0,0,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0
ABCB11,12.65237645,9.108218329,9.32441195,11.38360813,20.4105412,21.90851966,18.2226152,16.46946623,17.82666628,26.00601132
ABCB4,852.5755206,1026.192598,860.9540367,1114.558723,866.4274738,1186.047587,1072.257042,997.8558948,1178.540715,1135.595828
ABCB5,21.41171399,25.30060647,9.32441195,16.55797546,6.123162359,27.88357047,17.26353019,16.46946623,11.88444419,18.30052649
ABCB6,3205.91754,2800.271124,2377.725047,2996.993558,2373.745941,3304.203101,3488.192184,3502.183553,3357.355483,3790.135354
ABCB7,1159.152335,1186.092431,1019.46904,1203.557841,1020.52706,1755.669098,1314.90555,1416.374095,1434.056265,1465.005305
ABCB8,587.848875,529.2886873,561.5368085,605.4009778,545.981977,467.0498054,604.2235568,592.9007841,516.9733221,506.635628
ABCB9,471.0577078,351.1724178,358.4718372,436.7166028,465.3603393,404.3117719,526.5376709,445.6443802,425.85925,445.9549349
ABCC1,2219.032177,2275.030534,2378.761093,1957.980598,1765.511813,3088.10543,2109.027939,2669.991113,2958.236232,2787.45914
ABCC10,839.9231442,708.4169812,808.1157023,792.7130752,766.4158219,696.0934201,740.4136283,669.4353624,775.4599832,706.0150482
ABCC11,114.8446478,72.86574663,55.9464717,77.61550997,55.10846123,173.2764737,156.3308567,158.8819095,152.5170337,133.882799
ABCC12,0,0,0,0,0,0,0,0,0.990370349,0
ABCC13,6.812818087,0,4.144183089,4.139493865,5.102635299,1.991683605,3.836340043,2.906376393,3.961481396,6.742299232
ABCC2,51011.46206,45690.87124,45283.48861,44029.7265,39468.88404,33149.58193,28748.5732,29466.78145,30980.76525,36915.05148
ABCC3,412.6621241,468.5672318,673.4297519,516.4018597,609.2546547,935.0954527,1054.034427,734.3444352,834.8822041,819.6709495
ABCC4,1245.77245,1493.747806,1403.842021,1366.032975,1509.359521,1205.964423,1349.43261,1115.079743,1174.579234,1108.626631
ABCC5,2133.385321,2044.289003,1981.955562,2167.025038,1880.831371,1680.980963,1567.144908,1517.128477,1710.369593,1468.858047
ABCC6,1828.755027,1314.619512,1550.960521,1881.399962,1702.239136,1434.012196,2320.026641,1844.580217,1685.610334,1654.752869
ABCC6P1,1044.307687,1041.372962,1074.379466,1225.290184,1067.471305,981.9000174,1244.892344,1150.925051,926.9866466,860.1247449
ABCC6P2,200.4915037,152.8156631,189.5963763,259.75324,167.3664378,186.2224171,234.0167426,208.2903081,244.6214762,184.9316361
ABCC8,4.866298634,6.072145553,5.180228861,8.27898773,5.102635299,7.966734421,0,7.750337047,5.942222093,2.889556814
ABCC9,68.12818087,103.2264744,52.83833438,61.05753451,78.5805836,97.59249666,82.48131092,112.3798872,62.39333198,96.31856046
ABCD1,1228.253775,1135.491218,1324.066497,1136.291066,1191.975606,1160.1557,1249.687769,1181.9264,1227.068862,1480.416274
ABCD1P2,0.973259727,0,2.072091544,0,0,0,0,0,0,0
ABCD1P3,1.946519454,0,0,0,0,0,0,0,0,0
ABCD1P4,0.973259727,0,0,0,1.02052706,0,0,0,0.990370349,0.963185605
ABCD1P5,0,1.012024259,0,0,0,0,0,0,0,0
ABCD2,1.946519454,0,6.216274633,0,2.04105412,0.995841803,0,0.968792131,2.971111047,0
ABCD3,6794.326153,7460.642836,6642.089446,7067.150901,7173.284703,6356.458226,6562.059643,6227.395817,6828.603556,6322.350309
ABCD4,2692.036404,2248.717903,2327.99485,2557.172335,2060.444134,2862.049341,2461.012138,2389.041395,2820.574754,2942.532022
ABCE1,6988.978098,9130.482863,7003.66942,7941.61898,7526.387066,6972.884302,6305.983946,7978.003198,7163.348733,6055.547896
ABCF1,4895.496426,4662.39576,4929.505784,4594.83819,4830.154574,4361.787096,4523.044911,4520.384083,4503.213976,3951.950536
ABCF2,1924.13448,1900.581558,2105.245009,1855.528125,1961.453009,1840.315651,1929.679042,1642.102662,1736.119222,1492.937687
ABCF2-H2BE1,1898.829727,2099.950337,1961.234647,1775.842868,2052.279917,1620.234613,1456.850131,1686.6671,1773.753295,1473.673975
ABCF2P1,2.91977918,0,4.144183089,1.034873466,2.04105412,0.995841803,5.754510064,0.968792131,0.990370349,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0
ABCF3,1972.797466,1987.615644,2036.865988,2098.72339,1900.221385,1920.978837,1969.960612,1856.205723,2054.028104,1943.70855
ABCG1,27.25127235,23.27655795,19.68486967,37.25544479,32.65686591,26.88772867,34.52706039,20.34463475,15.84592558,30.82193935
ABCG2,454.5122924,565.7215607,560.5007628,424.2981212,484.7503534,412.2785063,361.575049,297.4191842,414.9651762,288.9556814
ABCG4,3.893038907,0,2.072091544,4.139493865,3.061581179,0.995841803,6.713595075,3.875168524,5.942222093,0
ABCG5,239.4218928,145.7314933,101.5324857,187.3120974,96.95007068,139.4178524,193.7351722,292.5752235,252.544439,243.685958
ABCG8,207.3043218,105.2505229,67.34297519,175.9284893,89.80638126,155.3513212,160.1671968,308.0758976,202.0355512,169.5206664
ABHD1,38.93038907,45.54109165,38.33369357,47.60417945,42.86213651,43.81703932,45.0769955,36.81410097,31.69185116,53.93839386
ABHD10,1674.97999,1852.004394,1543.708201,1709.610966,1579.775889,1533.596376,1508.640722,1672.135218,1521.208856,1412.030096
ABHD11,358.1595794,291.4629865,387.4811188,304.2527991,428.6213651,310.7026424,437.3427649,310.0134819,333.7548076,305.3298367
ABHD11-AS1,1.946519454,1.012024259,12.43254927,5.174367331,4.082108239,4.979209013,3.836340043,0,4.951851744,2.889556814
ABHD12,3187.425605,2678.828213,2836.693324,3048.737232,2968.713217,2546.367489,2873.418692,2938.346533,2634.385128,2654.539526
ABHD12B,33.09083071,22.26453369,22.79300699,5.174367331,18.36948708,18.92099425,27.81346531,20.34463475,23.76888837,25.04282572
ABHD13,485.6566037,719.549248,501.4461537,580.5640146,590.8851676,539.746257,538.046691,729.5004746,584.3185058,552.868537
ABHD14A,358.1595794,269.1984528,340.8590591,306.322546,339.8355109,364.4780998,446.933615,422.3933691,419.9170279,347.7100033
ABHD14A-ACY1,952.8212725,924.9901725,888.9272725,1099.035621,829.6884996,1014.762797,870.8491897,1005.606232,1120.108865,1050.835495
ABHD14B,3018.078413,2935.882375,3012.821106,2865.564628,2669.698788,2492.592032,2318.108471,2368.69676,2067.893288,2313.571822
ABHD15,766.9286647,668.9480351,863.0261282,808.2361771,948.0696385,516.8418956,826.7312792,637.4652221,605.1162832,600.0646317
ABHD16A,1035.548349,815.6915526,952.1260646,1002.792389,834.7911349,891.2784134,889.0718049,790.5343788,892.3236843,855.3088169
ABHD16B,0,0,3.108137317,0,0,0,0,0.968792131,0,1.926371209
ABHD17A,2519.769433,2200.140739,2263.760012,1987.991929,2041.05412,2122.138881,2534.861683,2192.376592,2570.011055,2777.827284
ABHD17AP1,0,0,7.252320405,4.139493865,0,0,0,9.687921309,3.961481396,2.889556814
ABHD17AP3,0,1.012024259,0,0,1.02052706,0.995841803,1.918170021,0,0,0
ABHD17AP4,0,0,0,0,0,0,0,0,0,3.852742418
ABHD17AP5,0,5.060121294,0,0,0,0,0,0,4.951851744,0
ABHD17AP6,1.946519454,3.036072776,11.39650349,0,0,1.991683605,6.713595075,5.812752785,0,6.742299232
ABHD17AP7,0,0,0,0,0,0,0,0,0,0
ABHD17AP8,0,0,0,0,0,0,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0,0,0
ABHD17B,837.003365,832.895965,744.9169102,696.4698428,762.3337137,722.9811487,670.4004225,762.439407,730.8933175,740.6897299
ABHD17C,655.9770558,745.8618787,617.4832802,681.9816143,714.3689418,557.6714095,701.0911428,755.6578621,611.0585053,601.9910029
ABHD18,1041.387908,1098.046321,934.5132865,966.5718175,976.6443962,1172.105802,833.4448743,957.1666253,980.4666454,1027.71904
ABHD2,3593.274911,3118.046741,3379.581309,2697.915127,3242.214469,2332.261502,2331.535661,2314.444401,2365.004393,2221.106004
ABHD3,1542.616667,1710.320997,1461.860585,1576.112289,1501.195305,1610.276195,1058.829852,1131.549209,1325.115527,1309.932422
ABHD4,268.6196846,199.368779,211.3533375,193.5213382,202.0643578,295.7650154,275.2573981,245.1044091,221.8429581,296.6611662
ABHD5,447.6994743,486.7836685,479.6891925,432.5771089,478.627191,391.3658284,334.7206687,370.078594,365.4466587,366.9737154
ABHD6,573.2499791,489.8197413,620.5914175,568.145533,565.3719911,450.1204948,494.8878655,425.2997455,469.4355454,465.218647
ABHD8,265.6999054,223.6573612,240.3626191,192.4864647,219.4133179,248.9604507,256.0756979,243.1668249,279.2844384,294.734795
ABI1,1135.794101,1523.096509,1422.490845,1265.650249,1318.520961,1433.016354,1200.774433,1253.617017,1320.163675,1333.048877
ABI1P1,0,0,0,0,0,0.995841803,0,0,0,0
ABI2,2440.935395,2831.643876,2421.23897,2456.789609,2435.998092,4602.780812,3509.292054,4287.873971,4152.622873,4232.237547
ABI3,2.91977918,0,1.036045772,4.139493865,5.102635299,0.995841803,3.836340043,0,0,1.926371209
ABI3BP,7.786077814,8.09619407,39.36973934,25.87183666,85.72427302,8.962576224,12.46810514,9.687921309,4.951851744,4.815928023
ABITRAM,1233.120074,1482.615539,1269.156071,1287.382592,1437.922627,1562.475788,1477.950002,1553.942578,1543.987374,1428.404252
ABITRAMP1,0.973259727,0,0,0,0,0,0,0,0,0
ABL1,2861.383597,2750.681935,2908.180483,2914.203681,2821.75732,2685.785342,2703.660645,2944.159286,2803.738458,2598.674761
ABL2,1886.17735,1742.705774,1635.916274,1651.658052,1788.983936,1524.6338,1685.112364,1621.758027,1556.862188,1458.263005
ABLIM1,18496.80111,26287.33012,21527.9951,22425.70801,21360.65189,17652.29179,13704.36572,15525.86269,16409.44631,15286.71873
ABLIM2,4.866298634,1.012024259,3.108137317,4.139493865,3.061581179,1.991683605,0.959085011,0,0.990370349,0.963185605
ABLIM3,39.9036488,19.22846092,95.31621104,32.08107745,60.21109653,14.93762704,21.09987024,8.719129178,12.87481454,13.48459846
ABO,6.812818087,9.108218329,2.072091544,2.069746933,6.123162359,5.975050816,6.713595075,0.968792131,4.951851744,1.926371209
ABR,1424.85224,1428.978253,2134.254291,1302.905694,1698.157027,1530.608851,1431.913921,1295.275079,1484.565153,1526.649183
ABRA,1.946519454,1.012024259,9.32441195,4.139493865,1.02052706,0,1.918170021,6.781544916,4.951851744,2.889556814
ABRACL,73.96773923,77.92586793,77.70343291,95.2083589,105.1142872,141.409536,211.9577874,169.5386229,158.4592558,170.483852
ABRAXAS1,1261.344606,1422.906108,1113.749205,1172.511637,1056.245507,1424.053778,922.6397803,1283.649573,1057.715533,1181.828737
ABRAXAS2,1006.350557,1129.419073,1158.299173,1172.511637,1172.585592,796.6734421,747.1272234,831.2236483,775.4599832,785.9594534
ABT1,1851.14,1937.014431,1987.135791,2069.746933,2013.499889,1684.96433,1953.656167,1886.238279,1824.262183,1738.550016
ABT1P1,0,1.012024259,1.036045772,2.069746933,0,0.995841803,0,0,0,0
ABTB1,33.09083071,18.21643666,47.65810552,41.39493865,39.80055533,48.79624833,34.52706039,25.1885954,45.55703605,38.52742418
ABTB2,635.5386016,663.8879138,860.9540367,586.7732554,798.0521608,534.767048,733.7000332,591.931992,547.6748029,561.5372075
ACAA1,9878.586227,7937.306262,8989.769165,9119.304985,8935.734935,7616.198107,8007.400755,7690.271935,7645.659093,8011.777859
ACAA2,4611.304585,4637.095154,4793.783788,5365.818923,5387.362349,6128.410454,6513.146308,5785.626606,6162.084311,5610.556147
ACACA,7111.608823,7143.879243,6727.045199,7284.474329,6586.481644,4848.753737,4637.176027,5277.010737,5196.473221,4626.180459
ACACB,368.8654364,287.4148895,255.9033057,333.2292561,269.4191438,767.7940298,784.5315388,722.7189296,629.8755419,748.3952148
ACAD10,1265.237645,1112.21466,1056.766688,1254.266641,1166.462429,1149.20144,1194.060838,1182.895192,1249.84738,1358.091702
ACAD11,2547.993965,2556.373278,2220.24609,2587.183666,2432.936511,3910.670759,3719.331672,3631.032907,4015.951765,4152.293141
ACAD8,1345.044942,1235.68162,1440.103623,1407.427914,1293.007785,1047.625576,1336.00542,1221.646877,1295.404416,1247.325358
ACAD9,1484.221083,1423.918132,1576.861665,1555.41482,1509.359521,1285.631767,1432.873006,1207.114995,1403.354784,1308.969237
ACADL,36.98386962,31.37275202,42.47787666,23.80208972,47.96477181,28.87941228,35.4861454,26.15738753,30.70148082,32.74831056
ACADM,2653.106015,2841.764119,2319.706484,3037.353623,2856.45524,2558.317591,2617.342994,2711.649174,2475.925872,2346.320133
ACADS,1152.339516,1049.469156,1165.551494,1067.989417,1048.08129,1060.57152,1297.64202,1252.648225,1186.463678,1366.760373
ACADSB,5188.447603,4573.337625,3738.053146,4800.77801,4994.459431,4154.652001,4365.754969,4399.285066,3898.097693,4318.924251
ACADVL,5838.585101,4499.459855,5500.367005,5302.691641,5107.737934,6588.489366,5768.89634,5225.664754,6483.954674,6885.813887
ACAN,2.91977918,11.13226685,2.072091544,2.069746933,1.02052706,2.987525408,4.795425054,8.719129178,2.971111047,7.705484837
ACAP1,43.7966877,31.37275202,61.12670056,49.67392638,51.02635299,46.80456472,42.19974047,39.72047737,37.63407326,74.16529155
ACAP2,1250.638749,1537.264849,1172.803814,1108.349482,1098.087116,1296.586027,988.8166461,1189.676737,1234.991825,1107.663445
ACAP3,2903.233765,2136.38321,2036.865988,2477.487078,2069.628877,1990.687764,2953.022748,2381.291058,2763.133273,3079.304378
ACAT1,3993.284659,4416.473865,3964.94717,4495.490337,3972.911844,3795.15311,3604.24147,4003.049085,3748.551771,3409.67704
ACAT2,6120.830422,6377.776879,5708.612205,6311.693271,6116.018669,5866.504059,5404.444035,6760.231489,5797.628022,5834.978393
ACBD3,1249.665489,1540.300922,1297.129307,1308.080061,1164.421375,1518.658749,1190.224498,1429.937185,1375.624415,1469.821233
ACBD4,583.9558361,537.3848814,583.2937697,576.4245207,529.653544,472.0290145,461.3198902,375.8913468,419.9170279,482.5559879
ACBD5,1336.285605,1383.437162,1372.760648,1084.547393,1286.884622,1381.23258,1068.420702,1238.116343,1341.951823,1426.47788
ACBD6,1735.322093,1784.198768,1733.304577,1763.424386,1716.526515,1708.864533,1841.443221,1497.752634,1799.502924,1719.286304
ACBD7,193.6786856,215.5611671,154.3708201,201.8003259,216.3517367,221.0768802,213.8759574,245.1044091,237.6888837,186.8580073
ACCS,0.973259727,1.012024259,5.180228861,1.034873466,5.102635299,0.995841803,0.959085011,0,0.990370349,0
ACCSL,0.973259727,3.036072776,0,3.104620399,0,2.987525408,1.918170021,0.968792131,2.971111047,0.963185605
ACD,1329.472787,1280.210687,1417.310616,1370.172469,1398.122072,1280.652558,1543.167782,1315.619714,1396.422192,1336.901619
ACE,15.57215563,16.19238814,92.20807372,65.19702837,89.80638126,23.90020326,51.79059058,17.43825836,37.63407326,24.07964012
ACE2,45.74320716,0,0,26.90671012,19.39001414,0,2.877255032,20.34463475,0,10.59504165
ACE3P,0,0,0,0,0,0,0,0,0,0
ACER1,18.49193481,17.2044124,10.36045772,11.38360813,19.39001414,6.970892619,17.26353019,20.34463475,19.80740698,14.44778407
ACER2,66.18166142,47.56514016,71.48715828,72.44114264,83.6832189,44.81288112,70.01320578,52.31477507,82.20073896,55.86476507
ACER2P1,0,0,0,1.034873466,0,0,0,0,0,0
ACER3,494.4159412,672.9961321,594.6902732,612.645092,742.9436995,451.1163366,569.6964964,559.9618517,572.4340617,465.218647
ACHE,1.946519454,3.036072776,0,5.174367331,4.082108239,1.991683605,1.918170021,2.906376393,4.951851744,0.963185605
ACIN1,6611.353324,6831.163747,7014.029878,6681.143098,6569.132684,7577.360276,6423.951402,6710.823091,7420.845024,7258.566716
ACKR1,0,0,0,0,0,0,0,0,0,0
ACKR2,97.32597268,71.85372237,56.98251747,66.23190184,86.74480008,65.72555898,53.7087606,45.53323015,37.63407326,54.90157946
ACKR3,5.839558361,7.084169812,9.32441195,11.38360813,35.71844709,4.979209013,5.754510064,7.750337047,3.961481396,5.779113628
ACKR4,4.866298634,2.024048518,6.216274633,0,1.02052706,4.979209013,4.795425054,0,2.971111047,1.926371209
ACKR4P1,0,0,4.144183089,1.034873466,0,0,0,0,0,0
ACLY,17680.2362,17175.0637,16667.90438,15005.66526,16801.95751,11642.38651,12095.02107,12125.40231,12663.86565,11398.33844
ACMSD,0,0,0,0,0,1.991683605,1.918170021,0.968792131,2.971111047,0
ACNATP,1.946519454,2.024048518,2.072091544,3.104620399,1.02052706,0,5.754510064,0,0,0
ACO1,2197.620463,2180.912278,1935.333502,2271.547258,2002.274091,2291.431988,2005.446757,2181.719879,2326.37995,2046.76941
ACO2,2813.69387,2544.228987,2684.394596,2675.14791,2453.347052,3754.323596,3265.684462,3314.23788,3415.787333,3413.529783
ACOD1,0,0,0,0,0,0,0,0,0,0
ACOT1,1405.387045,1228.59745,1344.787412,1486.078298,1322.603069,1164.139067,1514.395232,1206.146203,1312.240712,1243.472616
ACOT11,363.0258781,333.9680054,363.652066,302.1830521,332.6918215,367.4656252,324.1707336,320.6701953,325.8318448,333.2622192
ACOT12,8.759337541,2.024048518,3.108137317,3.104620399,0,2.987525408,3.836340043,0,1.980740698,0.963185605
ACOT13,715.3458992,716.5131752,631.987921,716.1324386,653.1373183,1168.122435,915.9261852,957.1666253,1085.445902,996.8971008
ACOT2,3467.724406,3738.417612,3398.230133,3666.556691,3806.565933,2750.515059,3608.07781,3505.08993,2974.082158,3351.885904
ACOT4,6.812818087,5.060121294,1.036045772,1.034873466,0,1.991683605,2.877255032,3.875168524,0.990370349,9.631856046
ACOT6,4.866298634,4.048097035,0,2.069746933,1.02052706,4.979209013,5.754510064,7.750337047,3.961481396,4.815928023
ACOT7,1814.156131,1881.353097,1940.513731,1834.830656,1758.368124,1474.84171,1803.07982,1758.357718,1698.485148,1520.87007
ACOT8,617.0466668,428.0862615,586.4019071,516.4018597,587.8235864,512.8585284,593.6736216,526.0541271,580.3570244,522.0465977
ACOT9,1409.280084,1434.038375,1576.861665,1344.300633,1552.221658,1441.97893,1470.277321,1387.310331,1391.47034,1509.311842
ACOX1,4468.235406,3975.231289,3883.099554,4107.412788,4002.507128,3733.410918,3468.051399,3694.973187,3483.132517,3344.180419
ACOX2,922.650221,839.9801348,893.0714556,1048.326821,939.9054221,1290.610976,1455.891046,1302.056624,1336.009601,1240.583059
ACOX3,575.1964985,511.0722507,552.2123966,492.5997699,553.1256664,473.0248563,492.9696955,527.9917113,471.4162861,549.0157946
ACOXL,9.732597268,5.060121294,9.32441195,11.38360813,12.24632472,3.983367211,9.590850107,5.812752785,8.91333314,17.33734088
ACP1,7497.019675,8703.408626,7942.32689,8297.615452,8362.198728,8065.32276,7854.906238,8134.947523,7905.136125,7701.632094
ACP2,984.9388435,782.294752,834.0168466,885.8516871,919.4948809,729.9520413,891.94906,819.5981427,791.3059088,735.8738019
ACP3,1.946519454,1.012024259,1.036045772,1.034873466,3.061581179,0.995841803,2.877255032,0.968792131,5.942222093,1.926371209
ACP4,4.866298634,7.084169812,3.108137317,1.034873466,3.061581179,4.979209013,5.754510064,4.843960654,6.932592442,2.889556814
ACP5,24.33149317,14.16833962,37.2976478,48.63905291,42.86213651,14.93762704,62.3405257,20.34463475,28.72074012,20.2268977
ACP6,1233.120074,1172.936116,1077.487603,1240.813286,1112.374495,1463.88745,1197.897178,1234.241175,1209.242196,1360.018074
ACP7,30.17105153,20.24048518,16.57673236,19.66259586,19.39001414,29.87525408,10.54993512,29.06376393,27.73036977,28.89556814
ACR,0.973259727,1.012024259,0,1.034873466,1.02052706,0,0.959085011,0.968792131,0,0
ACRBP,43.7966877,22.26453369,37.2976478,31.04620399,35.71844709,15.93346884,18.2226152,14.53188196,17.82666628,20.2268977
ACRP1,0,0,0,0,1.02052706,0,0,2.906376393,0,0
ACRV1,0.973259727,1.012024259,0,0,1.02052706,0.995841803,0,0,0,0
ACSBG1,193.6786856,187.2244879,154.3708201,168.684375,197.9822496,94.60497125,77.68588587,123.0366006,118.8444419,111.7295301
ACSBG2,0,0,0,3.104620399,0,0.995841803,1.918170021,0,1.980740698,0.963185605
ACSF2,999.5377394,831.8839407,946.9458358,1057.640683,1005.219154,1278.660875,1966.124272,1418.31168,1439.008117,1503.532729
ACSF3,853.5487804,729.6694906,792.5750157,802.0269363,778.6621466,814.5985946,811.3859191,758.5642385,704.1533181,777.2907829
ACSL1,129.4435437,118.4068383,255.9033057,132.4638037,234.7212238,266.8856031,387.4703443,172.4449993,276.3133273,239.8332155
ACSL3,3384.02407,4316.283464,2810.79218,3681.044919,2777.874657,5396.466729,3150.59426,5383.577871,4893.419894,5001.822845
ACSL4,9689.77384,11342.76789,7558.989954,10515.34929,7859.078887,9081.081398,5876.313861,9430.222602,8580.568703,8043.562984
ACSL5,8298.98569,7745.021653,7194.301842,7403.484778,5535.338772,5789.824241,3931.289459,4828.45998,5496.555436,5211.797307
ACSL6,699.7737435,814.6795283,843.3412586,902.4096626,907.2485561,510.8668448,704.9274829,637.4652221,693.2592442,532.6416393
ACSM1,57.42232388,29.3487035,37.2976478,64.16215491,47.96477181,55.76714095,61.38144069,62.97148851,63.38370233,59.71750749
ACSM2A,397.0899685,296.5231078,213.4254291,402.5657784,304.1170638,338.5862129,465.1562302,488.271234,307.0148082,405.5011395
