,HepG2_xenograft_CTL_1,HepG2_xenograft_CTL_2,HepG2_xenograft_CTL_3,HepG2_xenograft_CTL_4,HepG2_xenograft_CTL_5,HepG2_xenograft_DKD_1,HepG2_xenograft_DKD_2,HepG2_xenograft_DKD_3,HepG2_xenograft_DKD_4,HepG2_xenograft_DKD_5
TRBV5-7,0,0,0,0,0,0,0,0,0,0
TRBV6-1,0,0,0,0,0,0,0,0,0,0
TRBV6-2,0,0,0,0,0,0,0,0,0,0
TRBV6-4,0,0,0,0,0,0,0,0,0,0
TRBV6-5,0,0,0,0,0,0,0,0,0,0
TRBV6-6,0,0,0,0,0,0,0,0,0,0
TRBV6-7,0,0,0,0,0,0,0,0,0,0
TRBV6-8,0,0,0,0,0,0,0,0,0,0
TRBV7-1,0,0,0,0,0,0,0,0,0,0
TRBV7-2,0,0,0,0,0,0,0,0,0,0
TRBV7-3,0,0,0,0,0,0,0.959085011,0,0,0
TRBV7-4,0,0,0,0,0,0,0,0,0,0
TRBV7-5,0,0,0,0,0,0,0,0,0,0
TRBV7-6,0,0,0,0,0,0,0,0,0,0
TRBV7-7,0,0,0,0,0,0,0,0,0,0
TRBV7-9,0,0,0,0,0,0,0,0,0,0
TRBV8-1,0,0,0,0,0,0,0,0,0,0
TRBV8-2,0,0,0,0,0,0,0,0,0,0
TRBV9,0,0,0,0,0,0,0,0,0,0
TRBVA,0,0,0,0,0,0,0,0,0,0
TRBVB,0,0,0,0,0,0,0,0,0,0
TRDC,0,2.024048518,3.108137317,0,1.02052706,0,0,0.968792131,0,0
TRDD1,0,0,0,0,0,0,0,0,0,0
TRDD2,0,0,0,0,0,0,0,0,0,0
TRDD3,0,0,0,0,0,0,0,0,0,0
TRDJ1,0,0,0,0,0,0,0,0,0,0
TRDJ2,0,0,0,0,0,0,0,0,0,0
TRDJ3,0,0,0,0,0,0,0,0,0,0
TRDJ4,0,0,0,0,0,0,0,0,0,0
TRDMT1,164.4808938,187.2244879,214.4614748,168.684375,205.125939,196.1808351,170.7171319,209.2591003,166.3822186,156.9992536
TRDN,0.973259727,0,3.108137317,0,0,0,3.836340043,0,0.990370349,0
TRDV1,0,0,0,0,0,0,0,0,0,0
TRDV2,0,0,0,0,0,0,0,0,0,0
TRDV3,0,0,0,0,0,0,0,0,0,0
TREH,24.33149317,40.48097035,33.15346471,41.39493865,41.84160945,33.85862129,87.27673598,39.72047737,32.68222151,39.49060979
TREHP1,1.946519454,1.012024259,0,0,0,0,1.918170021,0,0,0
TREM1,2.91977918,1.012024259,0,0,0,0,0.959085011,0,2.971111047,0.963185605
TREM2,0,0,0,1.034873466,0,0.995841803,0.959085011,0,0.990370349,0
TREML1,0,0,1.036045772,0,0,0,0,0,0,0
TREML2,1.946519454,4.048097035,2.072091544,6.209240798,9.184743538,2.987525408,2.877255032,2.906376393,4.951851744,2.889556814
